repo,age_days,merged_prs,releases,last_update_days,language,closed_issue_ratio
build-your-own-x,2857,155,0,12,Markdown,0.7353603603603603
awesome,4255,694,0,1,,0.9561643835616438
freeCodeCamp,4088,27772,0,-1,TypeScript,0.9916800605086509
public-apis,3636,1872,0,14,Python,0.9928486293206198
free-programming-books,4528,7328,0,5,Python,0.9714964370546318
developer-roadmap,3277,4073,1,0,TypeScript,0.9899513776337115
coding-interview-university,3559,415,0,189,,0.8647619047619047
system-design-primer,3294,203,0,122,Python,0.3055555555555556
awesome-python,4268,641,0,1,Python,0
awesome-selfhosted,3930,2395,1,5,,1.0
996.ICU,2536,1072,0,195,,0
openclaw,101,2730,59,-1,TypeScript,0.6529254451764399
project-based-learning,3249,182,0,567,,0.36123348017621143
react,4668,12774,118,0,JavaScript,0.9438264738598443
linux,5295,0,0,-1,C,0
Python,3519,3046,0,2,Python,0.9048178613396005
vue,4602,1136,249,511,TypeScript,0.9641966689937169
the-book-of-secret-knowledge,2812,122,0,471,,0
computer-science,4323,305,0,1,HTML,0.9819819819819819
javascript-algorithms,2903,304,0,15,JavaScript,0.628032345013477
tensorflow,3771,42319,221,-1,C++,0.978274062386212
ohmyzsh,6032,3515,0,1,Shell,0.9715931664680175
You-Dont-Know-JS,4492,370,0,18,,1.0
CS-Notes,2942,374,0,561,,0.7768166089965398
vscode,3835,43321,197,-1,TypeScript,0.94224548254399
AutoGPT,1085,3970,94,-1,Python,0.9373996789727127
Python-100-Days,2926,13,0,8,Jupyter Notebook,0.26441631504922647
n8n,2448,14087,547,-1,TypeScript,0.9425651009978097
flutter,4016,46924,7,-1,Dart,0.8918010334308659
bootstrap,5332,9114,94,-1,MDX,0.9827556022408963
gitignore,5595,1727,0,20,,0
Microsoft-Activation-Scripts,2243,5,29,11,Batchfile,0.9977973568281938
awesome-go,4260,3608,0,-1,Go,0.9807427785419532
ollama,982,3069,189,-1,Go,0.7904721753794266
stable-diffusion-webui,1291,1884,27,3,Python,0.6956632006086736
the-art-of-command-line,3942,317,0,617,,0.5271317829457365
transformers,2684,18735,244,-1,Python,0.9423489069867124
JavaGuide,2859,1213,0,1,Java,0.9336870026525199
FreeDomain,644,1,0,2,HTML,0
prompts.chat,1186,200,0,0,HTML,0.9770992366412213
yt-dlp,1956,3229,131,2,Python,0.8363750786658276
javascript,4871,813,0,9,JavaScript,0.9271948608137045
langflow,1120,5791,284,-1,Python,0.8920886075949367
HelloGitHub,3592,17,63,5,Python,0.9048261896726291
youtube-dl,5604,1646,341,14,Python,0.8646854841716693
next.js,3437,26137,1000,-1,JavaScript,0.915552630496483
tech-interview-handbook,3530,486,0,38,TypeScript,0.6333333333333333
scrcpy,3025,123,50,7,C,0.5512669911058903
fucking-algorithm,2206,244,0,5,Markdown,0.9989615784008308
go,4216,1,0,0,Go,0.8658817179865924
dify,1058,9711,158,0,TypeScript,0.9755077658303465
PowerToys,2500,6347,127,-1,C#,0.7882694419747921
langchain,1235,16037,1000,-1,Python,0.9733464955577492
system-prompts-and-models-of-ai-tools,365,46,0,0,,0.5714285714285714
30-seconds-of-code,3018,836,12,0,JavaScript,1.0
open-webui,880,3313,152,-1,Python,0.9762759681969736
react-native,4072,957,444,-1,C++,0.9728769308869388
hello-algo,1217,968,10,41,Java,0.9716312056737588
kubernetes,4289,64000,784,-1,Go,0.9620786805684085
electron,4710,24547,1000,-1,C++,0.9656376588909066
free-for-dev,4004,2900,0,1,HTML,0
excalidraw,2254,3838,14,-1,TypeScript,0.5468447124703856
opencode,308,2581,728,-1,TypeScript,0.5195707715891671
free-programming-books-zh_CN,4504,282,3,598,,0
node,4116,11893,486,-1,JavaScript,0.9125802758002688
d3,5638,494,194,92,Shell,0.9955337204108977
iptv,2667,6821,0,0,TypeScript,0.9860165593376264
three.js,5825,15235,175,0,JavaScript,0.9672762271414822
rust,5740,69550,147,-1,Rust,0.819301948051948
rustdesk,1984,3946,36,0,Rust,0.98475
axios,4216,1134,109,0,JavaScript,0.9594594594594594
TypeScript,4279,14857,214,2,TypeScript,0.8841659295125471
Awesome-Hacking,3627,34,0,411,,0
ui,1156,1007,75,2,TypeScript,0.7501907911472908
generative-ai-for-beginners,990,521,0,0,Jupyter Notebook,0.9758454106280193
godot,4443,41424,66,0,C++,0.7881458272136819
GitHub-Chinese-Top-Charts,2373,0,0,509,Java,0.47230320699708456
deno,2851,14295,368,-1,Rust,0.8313865997850233
nodebestpractices,3093,766,0,323,Dockerfile,0.8562874251497006
ComfyUI,1143,2211,124,-1,Python,0.5662272441933459
frp,3727,735,109,-1,Go,0.9908844542990884
create-react-app,3518,1949,83,383,JavaScript,0.7806673791711198
papers-we-love,4463,439,0,11,Shell,0.9919354838709677
tauri,2427,5400,0,0,Rust,0.7962392608202302
terminal,3127,4378,146,-1,C++,0.8807266410943041
DeepSeek-V3,434,25,1,189,Python,0.941747572815534
clash-verge-rev,834,751,62,-1,TypeScript,0.967006598680264
angular,4186,5675,610,-1,TypeScript,0.9671747934020347
awesome-llm-apps,675,170,0,3,Python,1.0
awesome-mac,3518,1081,13,0,JavaScript,0.7368421052631579
supabase,2336,15579,26,-1,TypeScript,0.9490458015267176
HowToCook,2196,614,4,2,Dockerfile,0.44014510278113667
every-programmer-should-know,3115,110,0,65,,0.6888888888888889
material-ui,4216,21490,558,-1,JavaScript,0.9216139178297621
pytorch,3491,6428,64,-1,Python,0.7181407721115817
v2rayN,2410,395,300,-1,C#,0.9990906335253107
ant-design,3968,17062,740,0,TypeScript,0.960286357885642
neovim,4416,17730,48,0,Vim Script,0.8804363636363637
llama.cpp,1090,7478,1000,0,C++,0.9382629437350919
gemini-cli,322,5272,392,-1,TypeScript,0.8079248442005394
fastapi,2644,3171,269,-1,Python,0.9968625213918996
thefuck,3984,481,17,594,Python,0.6162790697674418
whisper,1265,119,13,80,Python,0
Web-Dev-For-Beginners,1941,654,0,4,JavaScript,0.8578199052132701
clean-code-javascript,3386,149,0,584,JavaScript,0.673469387755102
immich,1491,8731,287,-1,TypeScript,0.9356812788809792
tailwindcss,3072,3302,300,0,TypeScript,0.9893104171033327
java-design-patterns,4226,1520,0,3,Java,0.8578732106339468
puppeteer,3221,5836,646,0,TypeScript,0.9647685374846374
nvm,5802,741,71,13,Shell,0.8616798997074802
DeepSeek-R1,409,10,1,251,,0.9609261939218524
app-ideas,2564,151,0,145,,0.2602040816326531
vue-element-admin,3244,311,49,497,Vue,0.6520896761693883
markitdown,476,170,18,12,Python,0.21761658031088082
storybook,3639,12275,1000,0,TypeScript,0.8507241257506182
firecrawl,688,1359,32,-1,TypeScript,0.9453883495145631
bitcoin,5555,16168,63,0,C++,0.9598357927438145
gin,4279,1224,29,1,Go,0.7497900923593619
bun,1786,7177,210,-1,Zig,0.6928494384874057
NextChat,1090,894,77,93,TypeScript,0.809324399776661
LLMs-from-scratch,955,481,0,1,Jupyter Notebook,1.0
django,5059,10323,0,0,Python,0
hugo,4627,3239,365,1,Go,0.9699987551350678
mermaid,4141,2584,179,-1,TypeScript,0.6178361755661168
opencv,4977,13504,67,1,C++,0.775338871884565
svelte,3391,6518,606,-1,JavaScript,0.8973669467787115
weekly,2700,105,0,6,,0.15154371906669808
core,4552,82559,1000,-1,Python,0.9573885275678209
manim,4000,661,13,20,Python,0.6255110384300899
skills,164,21,0,0,Python,0.14285714285714285
ML-For-Beginners,1828,446,0,0,Jupyter Notebook,1.0
laravel,5384,1670,211,7,Blade,0
uptime-kuma,1706,1684,125,0,JavaScript,0.8574197716993324
playwright,2301,16275,158,-1,TypeScript,0.9654325320231619
awesome-for-beginners,3784,469,0,9,,0.9215686274509803
mall,2892,1,3,31,Java,0.9799599198396793
realworld,3659,434,0,0,TypeScript,0.9376146788990826
animate.css,5258,315,22,583,CSS,0.9546998867497168
awesome-mcp-servers,460,1409,0,0,,0.719047619047619
devops-exercises,2345,309,0,68,Python,0.6634615384615384
awesome-interview-questions,3750,175,0,584,,0.5573770491803278
FiraCode,4131,142,29,1,Clojure,0.6949275362318841
syncthing,4482,2837,462,0,Go,0.9366678047115057
uv,884,8502,259,-1,Rust,0.7257746315423002
servers,471,1178,24,4,TypeScript,0.6682577565632458
spring-boot,4885,42,339,0,Java,0.9880190342761902
system-design-101,898,23,0,335,,0.3103448275862069
Deep-Live-Cam,893,98,10,2,Python,0.926391382405745
browser-use,490,1668,118,2,Python,0.9078571428571428
funNLP,2753,14,0,664,Python,0.5647058823529412
advanced-java,2707,89,1,42,Java,0.9932432432432432
github-readme-stats,2065,1568,0,2,JavaScript,0.8872832369942196
vite,2144,6052,658,0,TypeScript,0.9451628352490421
fzf,4516,642,76,3,Go,0.9181173436492586
hoppscotch,2388,2038,99,0,TypeScript,0.7573812580231065
netdata,4643,11750,132,-1,C,0.981470193831525
models,3681,2342,51,0,Python,0.85199344620426
gpt4all,1073,938,38,281,C++,0.6749547920433996
LeetCodeAnimation,2646,63,0,934,Java,0.7049180327868853
code-server,2563,1638,223,1,TypeScript,0.955983131259884
zed,1839,22104,1000,-1,Rust,0.8583306512176805
Font-Awesome,5130,220,63,22,JavaScript,0.9853776192151148
elasticsearch,5869,87390,235,-1,Java,0.8965469260916955
cs-video-courses,3422,257,0,12,,0
llm-course,991,2,0,28,,0.3368421052631579
localsend,1175,701,24,1,Dart,0.4633228840125392
d2l-zh,3116,1019,16,583,Python,0
Best-websites-a-programmer-should-visit,3286,431,0,169,,0.5675675675675675
PayloadsAllTheThings,3425,564,5,0,Python,0
json-server,4481,161,46,5,JavaScript,0.48047538200339557
Stirling-PDF,1132,3170,167,-1,TypeScript,0.7919179734620024
